gene_symbol,n_mutated_biopsies,n_shared_mutations,first_biopsy_rank,human_symbols,gene_family,known_cscc_gene,gene_rank,plot_y,gene_label
Mageb4,6,2,4,MAGEB2,Other,FALSE,97,204,Mageb4
Gm8902,6,2,7,NA,Other,FALSE,98,203,Gm8902
Cdv3,6,2,8,CDV3,Other,FALSE,99,202,Cdv3
Speer4b,6,2,8,NA,Other,FALSE,100,201,Speer4b
Gm2075,6,2,11,NA,Other,FALSE,101,200,Gm2075
Gm13226,6,1,4,NA,Other,FALSE,102,199,Gm13226
Gm2099,6,1,4,NA,Other,FALSE,103,198,Gm2099
Speer4e,6,1,4,NA,Other,FALSE,104,197,Speer4e
Vmn2r89,6,1,4,NA,Other,FALSE,105,196,Vmn2r89
Krt87,6,1,7,KRT81;KRT83;KRT85;KRT86,Other,FALSE,106,195,Krt87
Gm3072,6,1,8,NA,Other,FALSE,107,194,Gm3072
Speer4d,6,1,8,NA,Other,FALSE,108,193,Speer4d
Gm13136,6,1,11,NA,Other,FALSE,109,192,Gm13136
Krt86,6,1,19,KRT86,Other,FALSE,110,191,Krt86
Hsp90ab1,5,2,4,HSP90AB1,Other,FALSE,111,190,Hsp90ab1
Cnfn,5,2,6,CNFN,Other,FALSE,112,189,Cnfn
Lrrc37a,5,2,8,LRRC37A2;LRRC37A3,Other,FALSE,113,188,Lrrc37a
Prb3-ps,5,2,8,NA,Other,FALSE,114,187,Prb3-ps
Slc5a4b,5,2,8,SLC5A4,Other,FALSE,115,186,Slc5a4b
2300002M23Rik,5,2,11,C6orf15,Other,FALSE,116,185,2300002M23Rik
Mid1,5,2,19,MID1,Other,FALSE,117,184,Mid1
AW822073,5,1,3,NA,Other,FALSE,118,183,AW822073
5830417I10Rik,5,1,4,NA,Other,FALSE,119,182,5830417I10Rik
Gm13135,5,1,4,NA,Other,FALSE,120,181,Gm13135
Gm3365,5,1,4,NA,Other,FALSE,121,180,Gm3365
Gm7760,5,1,7,NA,Other,FALSE,122,179,Gm7760
Zfp605,5,1,8,ZNF605,Other,FALSE,123,178,Zfp605
AC167036.1,5,1,19,NA,Other,FALSE,124,177,AC167036.1
Gm1989,5,1,19,NA,Other,FALSE,125,176,Gm1989
Mup9,5,1,19,NA,Other,FALSE,126,175,Mup9
Mmp1b,5,1,23,MMP1,Other,FALSE,127,174,Mmp1b
Gm13162,4,2,8,NA,Other,FALSE,128,173,Gm13162
Prpmp5,4,1,4,NA,Other,FALSE,129,172,Prpmp5
Zfp977,4,1,4,NA,Other,FALSE,130,171,Zfp977
Eif5,4,1,5,EIF5,Other,FALSE,131,170,Eif5
4930467E23Rik,4,1,10,NA,Other,FALSE,132,169,4930467E23Rik
Gm10220,4,1,11,NA,Other,FALSE,133,168,Gm10220
Gm10557,4,1,11,NA,Other,FALSE,134,167,Gm10557
A530064D06Rik,4,1,19,NA,Other,FALSE,135,166,A530064D06Rik
AC167036.2,4,1,19,NA,Other,FALSE,136,165,AC167036.2
Lrp1b,4,1,19,LRP1B,Other,FALSE,137,164,Lrp1b
Stxbp3-ps,4,1,19,NA,Other,FALSE,138,163,Stxbp3-ps
1110059E24Rik,4,1,22,C9orf85,Other,FALSE,139,162,1110059E24Rik
Gm7281,4,1,22,NA,Other,FALSE,140,161,Gm7281
Txndc2,3,2,4,TXNDC2,Other,FALSE,141,160,Txndc2
Muc4,3,2,8,MUC4,Other,FALSE,142,159,Muc4
Gm8289,3,2,10,NA,Other,FALSE,143,158,Gm8289
Elobl,3,2,19,ELOB,Other,FALSE,144,157,Elobl
Ibsp,3,2,19,IBSP,Other,FALSE,145,156,Ibsp
Vmn2r10,3,2,22,NA,Other,FALSE,146,155,Vmn2r10
Gm28453,3,2,23,NA,Other,FALSE,147,154,Gm28453
Krtap5-2,3,2,23,NA,Other,FALSE,148,153,Krtap5-2
Gm47854,3,1,4,NA,Other,FALSE,149,152,Gm47854
Sec62,3,1,4,SEC62,Other,FALSE,150,151,Sec62
Ddx3x,3,1,7,DDX3X,Other,FALSE,151,150,Ddx3x
Gm21411,3,1,7,NA,Other,FALSE,152,149,Gm21411
Gm45618,3,1,7,NA,Other,FALSE,153,148,Gm45618
Muc19,3,1,7,NA,Other,FALSE,154,147,Muc19
Zfp704,3,1,7,ZNF704,Other,FALSE,155,146,Zfp704
Zfp978,3,1,8,NA,Other,FALSE,156,145,Zfp978
Gm5154,3,1,10,NA,Other,FALSE,157,144,Gm5154
Gm5862,3,1,10,NA,Other,FALSE,158,143,Gm5862
Mup17,3,1,10,NA,Other,FALSE,159,142,Mup17
Gm2381,3,1,11,NA,Other,FALSE,160,141,Gm2381
Gne,3,1,11,GNE,Other,FALSE,161,140,Gne
1700013H16Rik,3,1,19,SYCP3,Other,FALSE,162,139,1700013H16Rik
Gm15432,3,1,19,NA,Other,FALSE,163,138,Gm15432
Zfp985,3,1,19,ZNF616,Other,FALSE,164,137,Zfp985
Muc5b,3,1,25,MUC5B,Other,FALSE,165,136,Muc5b
Slc39a6,3,1,25,SLC39A6,Other,FALSE,166,135,Slc39a6
Dclk2,3,1,26,DCLK2,Other,FALSE,167,134,Dclk2
Mup11,3,1,28,NA,Other,FALSE,168,133,Mup11
Gm29231,2,2,4,NA,Other,FALSE,169,132,Gm29231
Gm6536,2,2,4,NA,Other,FALSE,170,131,Gm6536
Ssr4,2,2,5,SSR4,Other,FALSE,171,130,Ssr4
Luc7l,2,2,7,LUC7L,Other,FALSE,172,129,Luc7l
Gm13148,2,2,8,NA,Other,FALSE,173,128,Gm13148
Vmn2r116,2,2,19,NA,Other,FALSE,174,127,Vmn2r116
Eps8,2,1,4,EPS8,Other,FALSE,175,126,Eps8
Gm20778,2,1,4,NA,Other,FALSE,176,125,Gm20778
Gm23659,2,1,4,NA,Other,FALSE,177,124,Gm23659
Huwe1,2,1,4,HUWE1,Other,FALSE,178,123,Huwe1
Mir742,2,1,4,NA,Other,FALSE,179,122,Mir742
Prdm2,2,1,4,PRDM2,Other,FALSE,180,121,Prdm2
Septin4,2,1,4,SEPTIN4,Other,FALSE,181,120,Septin4
Tchh,2,1,4,TCHH,Other,FALSE,182,119,Tchh
Wdr82,2,1,4,WDR82,Other,FALSE,183,118,Wdr82
Gm9416,2,1,5,NA,Other,FALSE,184,117,Gm9416
Bud13,2,1,7,BUD13,Other,FALSE,185,116,Bud13
Ckmt1,2,1,7,CKMT1A;CKMT1B,Other,FALSE,186,115,Ckmt1
Extl1,2,1,7,EXTL1,Other,FALSE,187,114,Extl1
Hnrnpm,2,1,7,HNRNPM,Other,FALSE,188,113,Hnrnpm
