human_symbol,incidence_n_mutations,incidence_n_altered_samples,incidence_n_profiled_samples,incidence_pct,is_cancer_gene,n_reference_profiled,n_case_profiled,n_reference_mutated,n_case_mutated,is_candidate,candidate_gene_symbols,candidate_gene_labels,candidate_groups,candidate_group,n_total_profiled,n_total_mutated,profile_denominator_matches_incidence,test_status,reference_prevalence_pct,case_prevalence_pct,prevalence_difference_pct,corrected_odds_ratio,corrected_log2_odds_ratio,odds_ratio,p_value,q_value_all_mutated_genes,n_fdr_tests,association_direction,is_significant_candidate,volcano_category,candidate_group_plot
NOP58,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
NOPCHAP1,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
NPIPA1,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
NPIPB3,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
NPY,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
NRL,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
NTMT1,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
NUBP2,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
NUDT21,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
NUP62CL,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
NUPR2,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
OPN1MW,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
OR11H1,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
OR13D1,14,13,147,8.8,No,115,32,10,3,FALSE,NA,NA,NA,NA,147,13,TRUE,tested,8.695652173913043,9.375,0.679347826086957,1.192090395480226,0.2534936386241877,1.0855947039009592,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
OR1N1,22,19,147,12.9,No,115,32,15,4,FALSE,NA,NA,NA,NA,147,19,TRUE,tested,13.043478260869565,12.5,-0.5434782608695645,1.0237691001697793,0.033890368069624095,0.9527062225115492,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
OR4F17,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
OR4F4,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
OR51H1,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
OR56B3P,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
OR6K2,15,13,147,8.8,No,115,32,10,3,FALSE,NA,NA,NA,NA,147,13,TRUE,tested,8.695652173913043,9.375,0.679347826086957,1.192090395480226,0.2534936386241877,1.0855947039009592,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
OR8D1,14,13,147,8.8,No,115,32,10,3,FALSE,NA,NA,NA,NA,147,13,TRUE,tested,8.695652173913043,9.375,0.679347826086957,1.192090395480226,0.2534936386241877,1.0855947039009592,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
