gene_symbol,recurrence_n_skin_samples,gene_level_mean_vaf
Ndn,1,0.064
Ndst1,1,0.07
Ndufv3,1,0.025
Nebl,1,0.047
Nek7,1,0.085
Net1,1,0.058
Neu2,1,0.045
Neurl2,1,0.07
Neurl4,2,0.04625
Nfasc,1,0.027
Nfatc2ip,1,0.067
Nfe2,1,0.067
Nfe2l3,1,0.058
Nfkbid,1,0.091
Nfxl1,1,0.054
Nfya,1,0.068
Nhs,1,0.0545
Nid2,1,0.042
Nin,1,0.055
Ninl,1,0.034
Nkpd1,1,0.068
Nle1,1,0.035
Nlrp4b,2,0.0685
Nlrp6,3,0.06266666666666666
Nme9,1,0.078
Nmt2,1,0.097
Nmur2,1,0.029
Noc3l,1,0.067
Nol12,1,0.045
Nol4,1,0.036
Nop53,1,0.025
Notch2,2,0.045
Notch3,1,0.063
Notch4,2,0.07550000000000001
Nova1,1,0.083
Npas3,1,0.059
Npffr1,1,0.036
Npnt,1,0.016
Npr2,1,0.052
Nptn,1,0.081
Nptx1,1,0.053
Npy5r,1,0.027
Nr2f6,1,0.081
Nr3c1,1,0.026
Nr3c2,1,0.042
Nr4a1,1,0.032
Nrg3,1,0.048
Nrp1,1,0.077
Nrxn1,1,0.056
Nsmce3,1,0.051
Nsun3,1,0.039
Nt5dc3,1,0.046
Ntrk2,1,0.063
Ntrk3,1,0.077
Nubp2,1,0.045
Nudt4,1,0.065
Nup153,1,0.07
Nup205,1,0.057
Nup210,1,0.072
Nup214,1,0.063
Nup50,1,0.058
Nup85,1,0.053
Nwd1,2,0.046
Nxnl2,1,0.04
Nxph3,1,0.067
Nyap1,1,0.077
Nynrin,1,0.032
Oas1c,1,0.056
Oas2,1,0.061
Oas3,1,0.043
Obscn,2,0.08725
Ocstamp,1,0.05
Ofcc1,1,0.035
Olfr1023,1,0.05
Olfr1087,1,0.089
Olfr1107,1,0.091
Olfr1126,1,0.041
Olfr1167,1,0.058
Olfr1178,1,0.028
Olfr1197,1,0.045
Olfr1214,1,0.053
Olfr1228,2,0.05975
Olfr1231,1,0.067
Olfr1253,1,0.05
Olfr1305,1,0.043
Olfr1309,1,0.083
Olfr1340,1,0.034
Olfr1364,1,0.075
Olfr1369-ps1,1,0.036
Olfr1386,1,0.043
Olfr1388,1,0.021
Olfr1396,1,0.097
Olfr1444,1,0.065
Olfr1469,1,0.055
Olfr149,1,0.077
Olfr1513,1,0.039
Olfr168,1,0.058
Olfr170,1,0.068
Olfr175,1,0.022
Olfr275,1,0.035
Olfr292,2,0.033
Olfr342,1,0.042
Olfr356,1,0.052
Olfr365,1,0.088
Olfr372,1,0.021
Olfr374,1,0.03
Olfr391,1,0.052
Olfr479,1,0.043
Olfr485,1,0.032
Olfr512,1,0.07
Olfr518,1,0.027
Olfr524,1,0.068
Olfr532,1,0.037
Olfr585,1,0.022
Olfr601,1,0.053
Olfr654,1,0.017
Olfr661,1,0.047
Olfr739,1,0.027
Olfr745,1,0.032
Olfr770,1,0.04
Olfr782,1,0.053
Olfr801,1,0.023
Olfr829,1,0.067
Olfr872,1,0.042
Olfr877,1,0.03
Olfr937,1,0.052
Olfr952,1,0.062
Olfr965,1,0.044
Olfr99,1,0.083
Omt2a,1,0.064
Ophn1,2,0.053500000000000006
Oplah,1,0.018
Opn4,1,0.048
Osbpl9,1,0.049
Otog,1,0.072
Otop2,1,0.046
Otulinl,1,0.097
Ovgp1,2,0.0285
Oxa1l,1,0.094
Oxct1,1,0.068
P3h1,1,0.065
P3h2,1,0.063
P4ha2,1,0.035
Pacs1,1,0.088
Pak6,1,0.081
Pank1,1,0.04
Pappa,1,0.045
Pappa2,1,0.048
Papss2,1,0.03
Paqr5,1,0.061
Paqr9,1,0.07
Pard3,2,0.0495
Pard3b,1,0.042
Pard6a,1,0.039
Parp8,1,0.097
Patl1,1,0.049
Pax7,1,0.084
Paxip1,2,0.037
Pbx4,1,0.065
Pcbd1,1,0.032
Pcdh18,1,0.04
Pcdhb11,1,0.019
Pcdhb2,1,0.019
Pcdhb4,1,0.047
Pcdhga11,1,0.071
Pck1,1,0.1
Pck2,1,0.05
Pcnt,1,0.034
Pcnx,1,0.04
Pcnx2,1,0.088
Pcnx3,1,0.063
Pcsk1,1,0.053
Pcsk5,1,0.017
Pcsk7,2,0.046
Pdc,1,0.052
Pde4dip,1,0.056
Pde9a,1,0.088
Pdhx,1,0.048
Pdlim5,1,0.071
Pdxp,1,0.063
Pecam1,2,0.0215
Perm1,1,0.038
Pgap1,1,0.1
Pgbd5,1,0.056
Phactr3,1,0.085
Phf12,1,0.067
Phf13,2,0.036500000000000005
Phf21b,1,0.041
Phf7,1,0.051
Phka2,1,0.071
Phldb1,1,0.032
Phldb3,1,0.055
Phtf2,1,0.047
Piezo1,1,0.07
Pigq,1,0.077
Pigu,1,0.079
Pik3c2g,1,0.07
Pik3r5,1,0.025
Pikfyve,1,0.035
Pim3,1,0.031
Pinx1,1,0.026
Pitx1,1,0.046
Piwil1,1,0.029
Pkd1,1,0.0435
Pkd1l3,1,0.018
Pkd2,1,0.05
Pkn1,1,0.091
Pkp4,1,0.097
Plb1,1,0.044
Plcd4,1,0.037
Plce1,1,0.065
Plec,1,0.044
Plekha4,1,0.067
Plekhg1,2,0.037000000000000005
Plekhg3,1,0.022
Plk2,2,0.044
Plp1,1,0.027
Plpp4,1,0.063
Plxna3,1,0.034
Plxnb1,1,0.045
Plxnb2,1,0.059
Plxnb3,1,0.047
Plxnd1,1,0.053
Pmm1,1,0.048
Pnma1,1,0.049
Pnoc,1,0.075
Pnpla6,1,0.048
Podn,1,0.043
Pogz,1,0.075
Pola1,1,0.1
Pole,1,0.052
Polg,1,0.065
Polr1a,1,0.039
Polr2b,1,0.081
Polr3a,1,0.045
Polrmt,1,0.067
Pomc,1,0.039
Popdc2,1,0.037
Porcn,1,0.061
Pot1a,1,0.1
Pou1f1,1,0.068
Pou2f2,1,0.043
Ppargc1b,1,0.028
Ppl,2,0.0385
Ppm1d,1,0.045
Ppp1r12b,1,0.068
Ppp1r14d,1,0.067
Ppp1r3g,1,0.048
Ppp3cb,1,0.06
Ppp3cc,1,0.07
Ppp4r1,1,0.055
Pprc1,1,0.036
Ppt1,1,0.054
Prdm13,1,0.067
Prdm9,2,0.057999999999999996
Prdx6b,1,0.036
Prelp,1,0.083
Prh1,1,0.071
Prkcg,1,0.022
Prkdc,1,0.07
Prl2c2,1,0.039
Prl7b1,1,0.085
Prmt1,1,0.077
Prodh,1,0.073
Prok1,1,0.083
Pros1,1,0.088
Proser2,1,0.077
Prpf40a,1,0.1
Prpf8,1,0.047
Prrc2b,1,0.053
Prrg4,1,0.083
Prrt4,1,0.045
Prss2,1,0.018
Prss22,1,0.063
Prss34,1,0.02
Psg20,1,0.018
Psma1,1,0.039
Psmc1,1,0.03
Psme1,2,0.0695
Psme4,2,0.079
Ptch1,1,0.067
Ptchd4,1,0.047
Ptprd,1,0.067
Ptprk,1,0.061
Ptprm,1,0.034
Ptprn2,1,0.061
Ptpro,1,0.07
Ptprq,1,0.05
Ptprs,1,0.067
Ptpru,1,0.056
Pttg1,1,0.065
Pum2,1,0.032
Pum3,1,0.039
Pwp1,1,0.079
Pygb,1,0.052
Pygm,1,0.017
Qpct,1,0.1
Qsox1,1,0.077
Qtrt1,1,0.059
Rab8b,1,0.06
Rabl3,1,0.083
Rad51b,1,0.073
Rad54l,1,0.084
Rad9a,1,0.071
Rai14,1,0.032
Ralgapa1,1,0.077
Ralgps2,1,0.054
Ran,4,0.058374999999999996
Ranbp2,1,0.035
Ranbp3,1,0.049
Rap1gds1,1,0.058
Rapgef3,2,0.047
Rasa1,1,0.028
Rasal3,1,0.024
Rasd2,1,0.055
Raver1,1,0.061
Rbbp6,1,0.058
Rbm10,1,0.083
Rbm12,3,0.020666666666666667
Rbm27,1,0.097
Rbm3,1,0.031
Rbm41,1,0.048
Rbm47,1,0.04
Rbms1,1,0.063
Rbms3,1,0.028
Rbpj,1,0.065
Rbsn,1,0.047
Rcl1,1,0.061
Rcn3,2,0.08049999999999999
Rdh5,1,0.088
Reck,1,0.04
Recql,1,0.071
Recql4,1,0.056
Reps1,1,0.053
Resp18,1,0.045
Retsat,1,0.05
Rexo5,2,0.046
Rfc3,1,0.026
Rfc4,1,0.064
Rfx3,1,0.063
Rgl3,1,0.034
Rgs12,2,0.07
Rgs16,1,0.026
Rgs3,2,0.056499999999999995
Rgsl1,1,0.057
Rhbdd2,1,0.1
Rimklb,1,0.054
Rims4,1,0.07
Rin3,1,0.063
Riok2,1,0.054
Ripk4,1,0.034
Rnf214,1,0.036
Rnf216,1,0.055
Rnf31,1,0.045
Rnf38,1,0.1
Rnf39,1,0.079
Rngtt,1,0.049
Rnps1,1,0.093
Ror2,1,0.045
Rpap2,1,0.061
Rph3al,1,0.032
Rpl11,1,0.022
Rpn1,1,0.039
Rps2,1,0.071
Rps6ka5,1,0.051
Rptn,4,0.0545
Rreb1,1,0.04
Rrp1,1,0.069
Rrs1,5,0.08756666666666667
Rtl5,1,0.075
Rtl6,1,0.083
Rtn3,1,0.023
Rtn4r,1,0.051
Rtp3,1,0.027000000000000003
Rxfp4,1,0.084
Ryr1,1,0.051
Ryr2,1,0.03
Ryr3,1,0.068
Sac3d1,1,0.027
Sacs,1,0.091
Samhd1,1,0.029
Sarm1,2,0.067
Sart3,1,0.062
Sash3,1,0.061
Satb1,1,0.029
Sbf1,1,0.058
Scaf11,1,0.027
Scamp3,1,0.079
Scamp4,2,0.0745
Scfd1,1,0.097
Scg3,1,0.048
Scgb1b3,1,0.057
Scn11a,1,0.029
Scn3a,1,0.01
Scn5a,2,0.05675
Scn7a,1,0.046
Scn8a,1,0.039
Scnn1g,1,0.077
Scrib,1,0.063
Scube1,1,0.023
Sdhaf4,1,0.083
Sdk1,1,0.094
Sdk2,1,0.068
Sec14l1,1,0.067
Sec14l2,1,0.061
Sec14l3,1,0.048
Sec16a,1,0.055
Sec22c,1,0.083
Sec23ip,1,0.057
Sec24b,1,0.038
Sec31b,1,0.084
Sell,1,0.043
Selplg,1,0.011
Sema3g,1,0.036
Sema6c,1,0.021
Sema7a,1,0.041
Serpina10,1,0.038
Serpina1d,1,0.055
Serpina3k,1,0.064
Serpinb6e,1,0.083
Sfi1,3,0.058
Sfmbt2,2,0.0445
Sfpq,1,0.04
Sfr1,1,0.027
Sft2d2,1,0.038
Sgcg,1,0.061
Sgo1,1,0.062
Sgsm1,1,0.077
Sgsm2,1,0.068
Sh2d3c,1,0.065
Sh3kbp1,1,0.028
Sh3pxd2a,1,0.032
Sh3pxd2b,1,0.088
Sh3rf1,1,0.1
Sh3tc1,2,0.052000000000000005
Sh3tc2,1,0.077
Shc4,1,0.048
Shd,1,0.052
Shisa3,1,0.091
Shisa9,1,0.094
Shpk,1,0.054
Shprh,1,0.036
Shroom3,1,0.071
Siglecg,1,0.084
Sik1,1,0.097
Simc1,1,0.021
Sin3b,1,0.039
Sipa1,1,0.024
Sipa1l2,1,0.059
Sipa1l3,1,0.1
Sirpb1b,3,0.07
Sirt6,1,0.044
Skor1,1,0.051
Sla,1,0.046
Slamf7,1,0.031
Slc12a3,1,0.024
Slc14a1,2,0.087
Slc14a2,1,0.052
Slc15a5,1,0.046
Slc17a6,1,0.031
Slc17a9,1,0.032
Slc22a16,1,0.05
Slc22a19,1,0.071
Slc24a5,1,0.088
Slc25a19,1,0.07
Slc25a31,1,0.081
Slc25a45,1,0.047
Slc26a1,2,0.07100000000000001
Slc26a8,1,0.066
Slc26a9,1,0.056
Slc28a1,1,0.079
Slc29a4,1,0.042
Slc2a6,1,0.073
Slc34a1,2,0.0485
Slc34a3,1,0.042
Slc35a5,1,0.045
Slc35f6,1,0.043
Slc35g1,1,0.019
Slc39a6,3,0.03833333333333333
Slc3a2,1,0.043
Slc45a1,1,0.055
Slc4a11,1,0.1
Slc4a8,2,0.054
Slc52a2,1,0.055
Slc5a10,2,0.0655
Slc5a4b,1,0.04
Slc6a19,1,0.097
Slc6a6,1,0.071
Slc7a15,1,0.059
Slc9a1,1,0.07
Slco1a4,1,0.047
Slf2,1,0.07
Slfn1,1,0.03
Slfn14,1,0.03
Slfn4,1,0.033
Slfn5,1,0.026
Slit3,1,0.057
Slk,1,0.075
Smad2,1,0.048
Smarca4,1,0.066
Smarcc1,1,0.065
Smcr8,1,0.089
Smg1,1,0.041
Smg9,1,0.101
Smpd4,1,0.038
Smr3a,2,0.078
Smtn,1,0.038
Snapc4,1,0.024
Sned1,1,0.092
Snf8,1,0.071
Snph,1,0.04
Snta1,1,0.083
Snu13,2,0.0785
Snupn,1,0.094
Snx21,1,0.094
Snx30,1,0.061
Snx4,1,0.037
Soga1,1,0.028
Son,1,0.026
Sos2,1,0.067
Sp140,3,0.059
Spa17,1,0.066
Spag1,1,0.077
Spag9,1,0.097
Sparc,1,0.049
Spata46,1,0.049
Spatc1l,1,0.036
Spats2l,1,0.083
Speer4a,1,0.021
Speer4f2,3,0.04666666666666666
Spice1,1,0.042
Spin2f,8,0.022
Sppl3,1,0.045
Sprr1b,1,0.034
Sprr2g,1,0.06
Spryd3,1,0.054
Spta1,1,0.068
Sptan1,1,0.05
Spz1,1,0.07
Srgap1,1,0.063
Srgap2,1,0.025
Srpk3,1,0.046
Srpx,1,0.081
Srrm3,1,0.068
Ss18l1,1,0.061
Ssh2,1,0.037
Ssh3,1,0.058
Ssmem1,1,0.045
Sspo,1,0.04
St3gal5,1,0.065
St3gal6,1,0.071
St8sia5,1,0.035
Stab1,2,0.0685
Stac2,1,0.045
Stag3,2,0.07200000000000001
Stat5b,1,0.038
Stk25,1,0.061
Stk36,1,0.053
Stmn1,1,0.025
Stoml1,1,0.083
Ston2,1,0.034
Stx16,1,0.033
Sucla2,1,0.073
Sun3,1,0.057
Supt5,1,0.052
Suz12,1,0.097
Swsap1,1,0.042
Sycp2l,1,0.053
Syn1,1,0.097
Syne1,1,0.075
Syne3,2,0.031
Syngr1,1,0.031
Synpo,1,0.046
Synpo2l,1,0.079
Szt2,2,0.07125000000000001
Taar2,1,0.063
Taar7a,2,0.027
Taar7e,1,0.028
Tab3,1,0.065
Tacc3,1,0.012
Taf15,1,0.077
Taf5l,1,0.056
Tango2,1,0.029
Tarbp1,1,0.038
Tas1r1,1,0.1
Tas1r3,1,0.047
Tas2r130,1,0.04
Tas2r134,1,0.031
Tas2r137,1,0.036
Tatdn2,1,0.048
Tbc1d13,1,0.034
Tbc1d22a,1,0.088
Tbc1d5,1,0.07
Tbc1d8,1,0.062
Tbx15,1,0.091
Tbx18,1,0.037
Tbx2,1,0.083
Tcf3,1,0.056
Tcp10a,1,0.048
Tctex1d2,1,0.043
Tead1,1,0.085
Tecpr1,3,0.07233333333333333
Tefm,1,0.1
Tenm1,1,0.043
Tenm3,2,0.058499999999999996
Tert,1,0.049
Tet3,1,0.077
Tex11,1,0.045
Tex261,1,0.063
Tex43,1,0.029
Tex44,1,0.037
Tfap2c,1,0.061
Tfdp2,1,0.075
Tg,1,0.045
Tgm5,1,0.083
Tgm7,2,0.041999999999999996
Thada,1,0.063
Thap1,1,0.0305
Thbs4,1,0.056
Thop1,1,0.063
Tiam1,1,0.057
Tiam2,1,0.03
Timeless,1,0.062
Timmdc1,1,0.1
Tjp1,1,0.048
Tktl1,1,0.079
Tln1,2,0.046
Tmbim7,1,0.083
Tmc2,1,0.048
Tmc3,1,0.084
Tmc4,1,0.075
Tmem120a,1,0.052
Tmem130,1,0.046
Tmem131,1,0.084
Tmem176a,1,0.036
Tmem178b,1,0.026
Tmem179b,1,0.061
Tmem201,1,0.065
Tmem211,1,0.034
Tmem214,1,0.033
Tmem219,1,0.06
Tmem29,1,0.045
Tmem43,1,0.017
Tmprss11b,1,0.043
Tmprss13,2,0.07275000000000001
Tmprss6,1,0.042
Tmprss9,1,0.071
Tnc,1,0.063
Tnfrsf26,1,0.088
Tnfsf15,1,0.054
Tnik,1,0.063
Tnn,1,0.042
Tnpo3,1,0.056
Tnr,1,0.043
Tnrc6b,1,0.065
Tnrc6c,1,0.048
Tns1,2,0.0565
Tns3,1,0.077
Tnxb,2,0.03233333333333333
Tob1,1,0.061
Tonsl,1,0.063
Topors,1,0.05
Tor4a,1,0.041
Tpsab1,1,0.045
Trabd,1,0.075
Trappc9,2,0.041
Trarg1,1,0.032
Trem3,1,0.051
Trgv3,1,0.091
Trim14,1,0.049
Trim21,1,0.035
Trim28,1,0.063
Trim30c,1,0.037
Trim40,1,0.042
Trim62,1,0.04
Trim9,1,0.081
Trio,2,0.0635
Trip12,1,0.075
Trmt1,1,0.081
Trmt2a,1,0.05
Tro,2,0.035875
Trpc4,1,0.056
Trpc5os,1,0.065
Trpm1,1,0.077
Trpm2,1,0.037
Trpv4,1,0.071
Trpv6,1,0.064
Trrap,1,0.034
Tsc22d4,1,0.07
Tsg101,1,0.035
Tshz2,1,0.091
Tsnaxip1,1,0.064
Tspan10,1,0.047
Tspan3,1,0.031
Tssk4,1,0.023
Ttc21a,1,0.075
Ttc22,2,0.041999999999999996
Ttc23,1,0.101
Ttc24,1,0.1
Ttc39c,1,0.03
Ttc7,1,0.07
Ttf2,1,0.091
Ttll3,1,0.094
Ttn,5,0.0545
Tubgcp2,1,0.055
Tubgcp5,1,0.077
Tubgcp6,1,0.055
Txndc15,1,0.07
Txndc2,1,0.011
Txndc5,1,0.085
Tyms,1,0.088
Uba1,1,0.027
Uba3,1,0.073
Uba7,1,0.079
Ubash3b,1,0.071
Ube2b,1,0.059
Ube2d2a,1,0.053
Ube2j1,2,0.0395
Ube4b,1,0.069
Ubl7,1,0.057
Ubr4,1,0.026
Unc13b,1,0.045
Unc5d,1,0.058
Unk,1,0.091
Upf1,1,0.059
Upk3a,1,0.061
Ush1c,1,0.046
Ush2a,1,0.034
Usp11,1,0.063
Usp17lc,1,0.052
Usp17ld,1,0.035
Usp2,1,0.061
Usp20,1,0.091
Usp22,1,0.042
Usp25,1,0.068
Usp29,1,0.04
Usp3,1,0.082
Usp34,1,0.07
Usp37,2,0.065
Usp9x,1,0.05
Ust,1,0.094
Uxs1,1,0.024
Vamp5,1,0.052
Vasn,1,0.092
Vav1,1,0.067
Vcan,1,0.04
Vcl,1,0.101
Veph1,1,0.048
Vgll1,1,0.022
Vmn1r15,1,0.042
Vmn1r174,1,0.043
Vmn1r18,1,0.033
Vmn1r211,2,0.027
Vmn1r218,1,0.088
Vmn1r22,1,0.021
Vmn1r30,1,0.025
Vmn1r50,1,0.037
Vmn1r72,1,0.064
Vmn1r74,1,0.077
Vmn2r-ps159,6,0.052472222222222226
Vmn2r10,2,0.039
Vmn2r104,1,0.046
Vmn2r106,1,0.081
Vmn2r114,3,0.051166666666666666
Vmn2r115,5,0.04439
Vmn2r116,2,0.027666666666666666
Vmn2r117,10,0.042513333333333334
Vmn2r121,1,0.076
Vmn2r128,1,0.068
Vmn2r23,1,0.041
Vmn2r44,1,0.039
Vmn2r6,1,0.063
Vmn2r73,1,0.041
Vmn2r89,4,0.09425
Vnn1,1,0.081
Vnn3,1,0.057
Vpreb1,1,0.048
Vps11,1,0.077
Vps18,1,0.083
Vps4a,1,0.052
Vps9d1,1,0.088
Vstm5,1,0.056
Vwa8,1,0.037
Vwc2,1,0.03
Washc2,1,0.064
Wdhd1,1,0.057
Wdr17,1,0.05
Wdr4,1,0.04
Wdr41,3,0.07033333333333333
Wdr46,1,0.085
Wdr59,1,0.059
Wdr75,2,0.052000000000000005
Wdr78,2,0.0565
Wdr81,1,0.065
Wdr89,2,0.043
Wdr90,1,0.07
Wfs1,1,0.088
Whrn,1,0.057499999999999996
Wnt16,1,0.053
Wscd1,1,0.04
Xcl1,1,0.079
Xirp2,1,0.063
Xkr8,1,0.065
Xrra1,1,0.033
Yeats4,1,0.06
Yipf5,1,0.058
Zan,1,0.012
Zbtb16,1,0.052
Zbtb22,1,0.05
Zbtb38,1,0.057
Zbtb40,1,0.053
Zbtb7b,1,0.065
Zc3h12c,1,0.034
Zc4h2,1,0.043
Zcchc24,1,0.026
Zdhhc22,1,0.056
Zdhhc23,1,0.077
Zer1,1,0.067
Zfc3h1,1,0.071
Zfhx2,1,0.046
Zfhx3,2,0.07050000000000001
Zfhx4,1,0.046
Zfp101,1,0.039
Zfp112,1,0.0955
Zfp236,1,0.067
Zfp267,1,0.052
Zfp300,1,0.061
Zfp365,1,0.043
Zfp36l1,1,0.053
Zfp36l3,1,0.061
Zfp398,1,0.037
Zfp423,3,0.06433333333333333
Zfp438,1,0.053
Zfp457,1,0.091
Zfp458,3,0.04666666666666667
Zfp607a,1,0.083
Zfp608,1,0.051
Zfp618,1,0.077
Zfp623,1,0.048
Zfp626,1,0.071
Zfp644,1,0.051
Zfp677,1,0.045
Zfp68,1,0.05
Zfp687,1,0.031
Zfp69,1,0.023
Zfp729b,2,0.0635
Zfp777,1,0.034
Zfp831,1,0.056
Zfp865,1,0.03
Zfp955b,1,0.088
Zfp957,1,0.017
Zfp978,1,0.016
Zfp982,3,0.09016666666666666
Zfpm2,1,0.05
Zfr2,1,0.077
Zfyve1,1,0.026
Zfyve26,1,0.061
Zic1,1,0.06
Zic5,1,0.079
Zkscan17,1,0.097
Zpld1,1,0.039
Zranb3,1,0.044
Zrsr2,1,0.067
Zscan18,1,0.015
Zscan20,1,0.03
Zswim2,1,0.052
Zyg11b,1,0.1
