endpoint_id,gene_symbol,analysis_family,analysis_scope,endpoint_label,endpoint_order,clinical_attribute,reference_group,case_group,gene_label,candidate_group,human_symbols,mutation_definition,test_status,n_reference_profiled,n_reference_mutated,reference_prevalence_pct,n_case_profiled,n_case_mutated,case_prevalence_pct,prevalence_difference_pct,odds_ratio,odds_ratio_conf_low,odds_ratio_conf_high,corrected_odds_ratio,corrected_log2_odds_ratio,p_value,q_value_within_endpoint,q_value_analysis_family
dfci_dfs_status,Cep170b,Disease aggressiveness,Within-study,DFCI disease-free status,12,DFS_STATUS,Disease free,Recurred / progressed,Cep170b / CEP170B,Initiation (I),CEP170B,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,not_testable_missing_endpoint_group,0,0,NA,0,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA
dfci_dfs_status,Cldn18,Disease aggressiveness,Within-study,DFCI disease-free status,12,DFS_STATUS,Disease free,Recurred / progressed,Cldn18 / CLDN18,Initiation (I),CLDN18,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,not_testable_missing_endpoint_group,0,0,NA,0,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA
dfci_dfs_status,Dennd1c,Disease aggressiveness,Within-study,DFCI disease-free status,12,DFS_STATUS,Disease free,Recurred / progressed,Dennd1c / DENND1C,Initiation (I),DENND1C,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,not_testable_missing_endpoint_group,0,0,NA,0,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA
dfci_dfs_status,Ezh1,Disease aggressiveness,Within-study,DFCI disease-free status,12,DFS_STATUS,Disease free,Recurred / progressed,Ezh1 / EZH1,Initiation (I),EZH1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,not_testable_missing_endpoint_group,0,0,NA,0,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA
dfci_dfs_status,Folh1,Disease aggressiveness,Within-study,DFCI disease-free status,12,DFS_STATUS,Disease free,Recurred / progressed,Folh1 / FOLH1,Initiation (I),FOLH1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,not_testable_missing_endpoint_group,0,0,NA,0,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA
dfci_dfs_status,Foxp4,Disease aggressiveness,Within-study,DFCI disease-free status,12,DFS_STATUS,Disease free,Recurred / progressed,Foxp4 / FOXP4,Initiation (I),FOXP4,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,not_testable_missing_endpoint_group,0,0,NA,0,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA
dfci_dfs_status,Kndc1,Disease aggressiveness,Within-study,DFCI disease-free status,12,DFS_STATUS,Disease free,Recurred / progressed,Kndc1 / KNDC1,Initiation (I),KNDC1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,not_testable_missing_endpoint_group,0,0,NA,0,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA
dfci_dfs_status,Ophn1,Disease aggressiveness,Within-study,DFCI disease-free status,12,DFS_STATUS,Disease free,Recurred / progressed,Ophn1 / OPHN1,Initiation (I),OPHN1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,not_testable_missing_endpoint_group,0,0,NA,0,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA
dfci_dfs_status,Otog,Disease aggressiveness,Within-study,DFCI disease-free status,12,DFS_STATUS,Disease free,Recurred / progressed,Otog / OTOG,Initiation (I),OTOG,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,not_testable_missing_endpoint_group,0,0,NA,0,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA
dfci_dfs_status,Pkp4,Disease aggressiveness,Within-study,DFCI disease-free status,12,DFS_STATUS,Disease free,Recurred / progressed,Pkp4 / PKP4,Initiation (I),PKP4,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,not_testable_missing_endpoint_group,0,0,NA,0,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA
dfci_dfs_status,Plce1,Disease aggressiveness,Within-study,DFCI disease-free status,12,DFS_STATUS,Disease free,Recurred / progressed,Plce1 / PLCE1,Initiation (I),PLCE1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,not_testable_missing_endpoint_group,0,0,NA,0,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA
