gt_DP,gt_dp_bins,tissue,n_mutations,pct_mutations
228,100-499,Skin,1,0.0037762924360862505
229,100-499,Hair follicle,5,0.018881462180431255
229,100-499,Skin,7,0.026434047052603753
230,100-499,Hair follicle,1,0.0037762924360862505
230,100-499,Skin,4,0.015105169744345002
231,100-499,Hair follicle,4,0.015105169744345002
231,100-499,Skin,1,0.0037762924360862505
232,100-499,Hair follicle,5,0.018881462180431255
232,100-499,Skin,1,0.0037762924360862505
233,100-499,Hair follicle,4,0.015105169744345002
233,100-499,Skin,4,0.015105169744345002
234,100-499,Hair follicle,5,0.018881462180431255
234,100-499,Skin,3,0.011328877308258751
235,100-499,Hair follicle,5,0.018881462180431255
235,100-499,Skin,3,0.011328877308258751
236,100-499,Hair follicle,3,0.011328877308258751
236,100-499,Skin,7,0.026434047052603753
237,100-499,Hair follicle,3,0.011328877308258751
237,100-499,Skin,3,0.011328877308258751
238,100-499,Hair follicle,3,0.011328877308258751
238,100-499,Skin,3,0.011328877308258751
239,100-499,Hair follicle,4,0.015105169744345002
239,100-499,Skin,3,0.011328877308258751
240,100-499,Hair follicle,5,0.018881462180431255
240,100-499,Skin,5,0.018881462180431255
241,100-499,Hair follicle,4,0.015105169744345002
241,100-499,Skin,6,0.022657754616517502
242,100-499,Hair follicle,4,0.015105169744345002
242,100-499,Skin,5,0.018881462180431255
243,100-499,Hair follicle,7,0.026434047052603753
243,100-499,Skin,7,0.026434047052603753
244,100-499,Hair follicle,1,0.0037762924360862505
244,100-499,Skin,7,0.026434047052603753
245,100-499,Hair follicle,5,0.018881462180431255
245,100-499,Skin,5,0.018881462180431255
246,100-499,Hair follicle,3,0.011328877308258751
246,100-499,Skin,7,0.026434047052603753
247,100-499,Hair follicle,1,0.0037762924360862505
247,100-499,Skin,1,0.0037762924360862505
248,100-499,Hair follicle,5,0.018881462180431255
248,100-499,Skin,5,0.018881462180431255
249,100-499,Hair follicle,4,0.015105169744345002
249,100-499,Skin,1,0.0037762924360862505
250,100-499,Hair follicle,3,0.011328877308258751
250,100-499,Skin,4,0.015105169744345002
251,100-499,Hair follicle,1,0.0037762924360862505
251,100-499,Skin,2,0.007552584872172501
252,100-499,Hair follicle,2,0.007552584872172501
252,100-499,Skin,1,0.0037762924360862505
253,100-499,Hair follicle,5,0.018881462180431255
253,100-499,Skin,5,0.018881462180431255
254,100-499,Hair follicle,7,0.026434047052603753
254,100-499,Skin,4,0.015105169744345002
255,100-499,Hair follicle,1,0.0037762924360862505
255,100-499,Skin,7,0.026434047052603753
256,100-499,Hair follicle,4,0.015105169744345002
256,100-499,Skin,1,0.0037762924360862505
257,100-499,Hair follicle,4,0.015105169744345002
257,100-499,Skin,4,0.015105169744345002
258,100-499,Hair follicle,2,0.007552584872172501
258,100-499,Skin,4,0.015105169744345002
259,100-499,Hair follicle,4,0.015105169744345002
259,100-499,Skin,5,0.018881462180431255
260,100-499,Hair follicle,6,0.022657754616517502
260,100-499,Skin,3,0.011328877308258751
261,100-499,Hair follicle,1,0.0037762924360862505
261,100-499,Skin,2,0.007552584872172501
262,100-499,Hair follicle,1,0.0037762924360862505
262,100-499,Skin,5,0.018881462180431255
263,100-499,Hair follicle,5,0.018881462180431255
263,100-499,Skin,5,0.018881462180431255
264,100-499,Hair follicle,2,0.007552584872172501
264,100-499,Skin,3,0.011328877308258751
265,100-499,Hair follicle,4,0.015105169744345002
265,100-499,Skin,3,0.011328877308258751
266,100-499,Hair follicle,3,0.011328877308258751
266,100-499,Skin,4,0.015105169744345002
267,100-499,Hair follicle,4,0.015105169744345002
267,100-499,Skin,4,0.015105169744345002
268,100-499,Skin,3,0.011328877308258751
269,100-499,Hair follicle,3,0.011328877308258751
269,100-499,Skin,4,0.015105169744345002
270,100-499,Hair follicle,5,0.018881462180431255
270,100-499,Skin,7,0.026434047052603753
271,100-499,Skin,6,0.022657754616517502
272,100-499,Hair follicle,3,0.011328877308258751
272,100-499,Skin,1,0.0037762924360862505
273,100-499,Hair follicle,5,0.018881462180431255
273,100-499,Skin,5,0.018881462180431255
274,100-499,Hair follicle,1,0.0037762924360862505
274,100-499,Skin,5,0.018881462180431255
275,100-499,Hair follicle,5,0.018881462180431255
275,100-499,Skin,7,0.026434047052603753
276,100-499,Hair follicle,1,0.0037762924360862505
276,100-499,Skin,4,0.015105169744345002
277,100-499,Hair follicle,2,0.007552584872172501
277,100-499,Skin,4,0.015105169744345002
278,100-499,Skin,7,0.026434047052603753
279,100-499,Hair follicle,4,0.015105169744345002
279,100-499,Skin,5,0.018881462180431255
280,100-499,Hair follicle,2,0.007552584872172501
280,100-499,Skin,6,0.022657754616517502
281,100-499,Skin,5,0.018881462180431255
282,100-499,Hair follicle,3,0.011328877308258751
282,100-499,Skin,4,0.015105169744345002
283,100-499,Hair follicle,1,0.0037762924360862505
283,100-499,Skin,5,0.018881462180431255
284,100-499,Hair follicle,3,0.011328877308258751
284,100-499,Skin,8,0.030210339488690004
285,100-499,Skin,2,0.007552584872172501
286,100-499,Hair follicle,2,0.007552584872172501
286,100-499,Skin,7,0.026434047052603753
287,100-499,Hair follicle,1,0.0037762924360862505
287,100-499,Skin,6,0.022657754616517502
288,100-499,Skin,3,0.011328877308258751
289,100-499,Hair follicle,3,0.011328877308258751
289,100-499,Skin,3,0.011328877308258751
290,100-499,Hair follicle,2,0.007552584872172501
290,100-499,Skin,2,0.007552584872172501
291,100-499,Hair follicle,2,0.007552584872172501
291,100-499,Skin,2,0.007552584872172501
292,100-499,Hair follicle,2,0.007552584872172501
292,100-499,Skin,5,0.018881462180431255
293,100-499,Hair follicle,2,0.007552584872172501
293,100-499,Skin,1,0.0037762924360862505
294,100-499,Hair follicle,1,0.0037762924360862505
294,100-499,Skin,6,0.022657754616517502
295,100-499,Hair follicle,1,0.0037762924360862505
295,100-499,Skin,6,0.022657754616517502
296,100-499,Hair follicle,2,0.007552584872172501
296,100-499,Skin,2,0.007552584872172501
297,100-499,Hair follicle,2,0.007552584872172501
297,100-499,Skin,3,0.011328877308258751
298,100-499,Hair follicle,2,0.007552584872172501
298,100-499,Skin,6,0.022657754616517502
299,100-499,Hair follicle,3,0.011328877308258751
299,100-499,Skin,4,0.015105169744345002
300,100-499,Hair follicle,3,0.011328877308258751
301,100-499,Hair follicle,2,0.007552584872172501
301,100-499,Skin,2,0.007552584872172501
302,100-499,Hair follicle,3,0.011328877308258751
302,100-499,Skin,9,0.03398663192477625
303,100-499,Hair follicle,1,0.0037762924360862505
303,100-499,Skin,5,0.018881462180431255
304,100-499,Hair follicle,1,0.0037762924360862505
305,100-499,Skin,4,0.015105169744345002
306,100-499,Hair follicle,2,0.007552584872172501
306,100-499,Skin,2,0.007552584872172501
307,100-499,Hair follicle,1,0.0037762924360862505
307,100-499,Skin,11,0.041539216796948754
308,100-499,Hair follicle,1,0.0037762924360862505
308,100-499,Skin,4,0.015105169744345002
309,100-499,Hair follicle,2,0.007552584872172501
309,100-499,Skin,6,0.022657754616517502
310,100-499,Hair follicle,1,0.0037762924360862505
310,100-499,Skin,4,0.015105169744345002
311,100-499,Hair follicle,2,0.007552584872172501
311,100-499,Skin,1,0.0037762924360862505
312,100-499,Hair follicle,1,0.0037762924360862505
312,100-499,Skin,2,0.007552584872172501
313,100-499,Hair follicle,3,0.011328877308258751
313,100-499,Skin,8,0.030210339488690004
314,100-499,Hair follicle,1,0.0037762924360862505
314,100-499,Skin,9,0.03398663192477625
315,100-499,Hair follicle,1,0.0037762924360862505
315,100-499,Skin,8,0.030210339488690004
