sample_name,tissue,treatment,time,category,callable_mbp,coverage,mutations
hairfollicle21-g2-w14,Hair follicle,DT,Week 14,Visually normal,2.329644,34.07,64
hairfollicle21-g2-w17,Hair follicle,DT,Week 17,Visually normal,2.7711,41.75,69
hairfollicle21-g2-w19,Hair follicle,DT,Week 19,Visually normal,1.633411,25.68,77
hairfollicle21-g2-w8,Hair follicle,DT,Week 8,Visually normal,0.828405,20.14,18
hairfollicle21-g3-w14,Hair follicle,DT,Week 14,Visually normal,2.011044,33.43,41
hairfollicle21-g3-w17,Hair follicle,DT,Week 17,SCC,5.249178,95.72,83
hairfollicle21-g3-w8,Hair follicle,DT,Week 8,Visually normal,0.721269,12.37,14
hairfollicle21-g4-w14,Hair follicle,DT,Week 14,Visually normal,0.624356,15.3,65
hairfollicle21-g4-w17,Hair follicle,DT,Week 17,SCC,1.049966,36.53,51
hairfollicle21-g4-w8,Hair follicle,DT,Week 8,Visually normal,2.359885,34.01,54
hairfollicle21-g5-w17,Hair follicle,DT,Week 17,Visually normal,2.175575,59.22,65
hairfollicle21-g6-w17,Hair follicle,DT,Week 17,Visually normal,0.763519,13.18,22
hairfollicle21-g6-w19,Hair follicle,DT,Week 19,SCC,1.947039,25.48,128
hairfollicle21-g6-w8,Hair follicle,DT,Week 8,Visually normal,0.588555,11.87,9
hairfollicle21-g7-w14,Hair follicle,DT,Week 14,Visually normal,0.574904,9.92,11
hairfollicle21-g7-w17,Hair follicle,DT,Week 17,Visually normal,0.742954,15.14,4
hairfollicle21-g7-w19,Hair follicle,DT,Week 19,Visually normal,0.705152,15.28,37
hairfollicle21-g7-w8,Hair follicle,DT,Week 8,Visually normal,0.442895,8.43,8
skin19-a3-w19,Skin,Acetone,NA,Acetone,15.166911,2750.16,412
skin19-a4-w19,Skin,Acetone,NA,Acetone,7.469212,3690.72,253
skin19-b3-w19,Skin,Acetone,NA,Acetone,8.198919,2302.81,273
skin19-b4-w19,Skin,Acetone,NA,Acetone,6.682143,3357.66,167
skin21-b5-w19,Skin,DT,NA,Visually normal,13.828287,7496.5,178
skin21-b6-w19,Skin,DT,NA,SCC,14.991408,7024.02,173
skin21-b7-w19,Skin,DT,NA,SCC,12.916857,5853.57,128
skin21-c5-w19,Skin,DT,NA,Visually normal,14.476041,6922.28,152
skin21-c6-w19,Skin,DT,NA,Visually normal,7.706756,3819.7,94
skin21-c7-w19,Skin,DT,NA,SCC,7.957113,3688.53,64
skin21-d1-w19,Skin,DT,NA,Visually normal,14.023003,6182.95,190
skin21-d2-w19,Skin,DT,NA,Papilloma,8.618273,3736.29,71
skin21-d3-w19,Skin,DT,NA,Visually normal,15.925932,6377.67,148
skin21-d4-w19,Skin,DT,NA,Visually normal,15.251175,6750.26,144
skin21-e1-w19,Skin,DT,NA,Papilloma,7.519725,3314.5,56
skin21-e2-w19,Skin,DT,NA,Papilloma,7.364843,3700.77,54
skin21-e3-w19,Skin,DT,NA,Visually normal,7.499677,3269.73,35
skin21-e4-w19,Skin,DT,NA,SCC,7.89452,3921.83,52
skin21-f1-w19,Skin,DT,NA,Papilloma,13.946935,6060.79,160
skin21-f2-w19,Skin,DT,NA,Visually normal,3.761058,564.29,1
skin21-f3-w19,Skin,DT,NA,Visually normal,7.692878,3711.66,45
skin21-f4-w19,Skin,DT,NA,SCC,3.920519,680.91,1
skin21-f6-w19,Skin,DT,NA,Visually normal,4.063662,754.95,1
skin21-f7-w19,Skin,DT,NA,Visually normal,4.200418,809.84,1
skin21-g1-w19,Skin,DT,NA,Visually normal,11.43858,6090.42,140
skin21-g2-w19,Skin,DT,NA,Visually normal,4.094881,674.93,2
skin21-g3-w19,Skin,DT,NA,Visually normal,14.270391,6722.06,186
skin21-g4-w19,Skin,DT,NA,SCC,13.57167,6537.05,162
skin21-g6-w19,Skin,DT,NA,Visually normal,3.969806,571.6,9
skin21-g7-w19,Skin,DT,NA,Visually normal,4.027308,688.61,7
skin21-pp-bc-w19,Skin,DT,NA,SCC,13.247087,6975.38,163
skin21-pp-de-w19,Skin,DT,NA,SCC,12.383336,5450.79,185
