gene_symbol,group,n_samples,n_mutations,datasets,samples,max_gt_AF
Trank1,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.037
Trappc11,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.1
Trappc12,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.023
Trappc9,Morphologically normal,1,1,TES,hairfollicle21-c2-w17,0.111
Trappc9,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.055
Trappc9,HF SCC,1,1,TES,hairfollicle21-c6-w8,0.364
Trappc9,Skin papilloma,1,1,TES,skin21-f1-w19,0.067
Trarg1,Skin papilloma,1,1,WES,skin04-c5-t2,0.032
Trav13-1,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.022
Trav13-2,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.105
Trav14-3,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.166
Trav2,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.019
Trav3-4,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.019
Trav4-4-dv10,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.013
Trav6-7-dv9,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.1
Trav7-3,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.148
Trav7-6,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.046
Trav9d-4,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.046
Trbv13-1,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.065
Trbv13-3,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.029
Trdn,HF papilloma,1,2,WES,hairfollicle04-c5-t3,0.053
Trdv1,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.07
Trem3,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.041
Trem3,Skin papilloma,1,1,WES,skin04-c2-t2,0.051
Trex1,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.128
Trgc1,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.044
Trgv3,Skin papilloma,1,1,WES,skin04-c5-t2,0.091
Trhde,HF papilloma,2,2,WES,hairfollicle04-c2-t3; hairfollicle04-c5-t3,0.044
Trhr2,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.044
Trib2,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.031
Trim14,Skin papilloma,1,1,WES,skin04-c5-t2,0.049
Trim21,Morphologically normal,1,1,WES,skin05-b1-t2,0.035
Trim24,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.052
Trim27,Morphologically normal,1,1,WES,hairfollicle05-b1-t3,0.123
Trim28,Morphologically normal,2,3,WES,hairfollicle05-c7-t2; skin04-c6-t2,0.1
Trim3,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.023
Trim30b,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.025
Trim30c,Skin papilloma,1,1,WES,skin04-c5-t2,0.037
Trim31,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.048
Trim36,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.036
Trim38,Morphologically normal,1,2,WES,hairfollicle05-b5-t3,0.17
Trim40,Skin papilloma,1,1,WES,skin04-c5-t2,0.042
Trim45,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.039
Trim6,Morphologically normal,2,2,WES,hairfollicle05-c7-t2; hairfollicle05-e5-t3,0.13
Trim62,Morphologically normal,1,1,WES,skin04-c6-t2,0.04
Trim66,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.074
